Marca temporal,Evaluador ,Nombre ,Número la Mandíbula ,ID (Código de la Mandíbula),Impresión total [Izquierda],Mentón [Izquierda],Ángulo mandibular [Izquierda],Ángulo mandibular [Derecha ],Eversión gonial [Izquierda],Eversión gonial [Derecha ],Margen inferior [Izquierda],Cuerpo mandibular [Izquierda],Rama mandibular [Izquierda],Rama mandibular [Derecha ],Incisura mandibular / Escotadura sigmoidea [Izquierda],Incisura mandibular / Escotadura sigmoidea [Derecha ],Proceso condilar [Izquierda],Proceso condilar [Derecha ],Proceso coronoide [Izquierda],Proceso coronoide [Derecha ],Arco dental [Izquierda],Dientes (Número),Comentarios,Diente  [Izquierda]
7/11/2019 13:06:44,Obs 02,Mariana Josselyn García García ,33,Cona00033,+1,+1,+2,+2,+2,0,+1,+1,+1,+1,-1,-1,+2,+2,0,0,+2,1,,
7/11/2019 13:08:06,Obs 03,Abigail Gómez Moreno,33,Cona00033,+2,+1,+2,+1,+2,+1,+1,+1,+2,+1,-2,-2,No identificado,+1,-1,-1,+1,1,,
7/11/2019 13:08:13,Obs 03,Abigail Gómez Moreno,33,Cona00033,+2,+1,+2,+1,+2,+1,+1,+1,+2,+1,-2,-2,No identificado,+1,-1,-1,+1,1,,
7/11/2019 13:13:47,Obs 01,Miguel Angel Gallegos Guzmán,33,Cona 00033,+2,+2,+2,+2,+1,-1,+1,+1,+1,+1,+1,+1,+1,+1,+2,+2,+1,1,,
7/11/2019 13:15:35,Obs 02,Mariana Josselyn García García ,38,Cona00038,+1,+1,+1,+1,+1,+1,+2,+1,No identificado,No identificado,+1,+1,No identificado,No identificado,0,0,+2,0,,
7/11/2019 13:17:11,Obs 03,Abigail Gómez Moreno,38,Cona00038,+1,+2,+1,+2,+2,+2,+1,+1,+1,+1,+1,0,No identificado,No identificado,0,0,-1,0,,
7/11/2019 13:18:50,Obs 02,Mariana Josselyn García García ,31,Cona00031,+1,+1,+2,+2,+1,+1,+1,+2,+2,+2,+1,+1,+1,+2,0,0,+2,1,,
7/11/2019 13:21:48,Obs 02,Mariana Josselyn García García ,58,Cona00058,+2,+1,+2,+2,+1,+2,+2,+2,+1,+1,+1,+1,+2,+2,+2,+2,+1,0,,
7/11/2019 13:22:39,Obs 01,Miguel Ángel Gallegos Guzmán,38,Cona 00038,+2,+1,+1,+2,+1,+2,-1,+1,-1,+1,-1,-1,No identificado,No identificado,-1,-1,+1,0,,
7/11/2019 13:23:31,Obs 03,Abigail Gómez Moreno,31,Cona00031,+1,+1,0,0,+1,+1,0,+1,-1,-1,-2,-2,-1,-1,0,-1,+1,1,,
7/11/2019 13:23:53,Obs 03,Abigail Gómez Moreno,31,Cona00031,+1,+1,0,0,+1,+1,0,+1,-1,-1,-2,-2,-1,-1,0,-1,+1,1,,
7/11/2019 13:24:27,Obs 02,Mariana Josselyn García García ,59,Cona00059,-2,-1,-1,-1,-2,-2,-1,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,2,,
7/11/2019 13:26:19,Obs 03,Abigail Gómez Moreno,58,Cona00058,+2,+2,+1,+1,+1,+1,+2,+2,+2,+2,+1,+1,+1,+1,+1,+1,+1,0,,
7/11/2019 13:26:50,Obs 02,Mariana Josselyn García García ,37,Cona00037,0,0,No identificado,No identificado,0,0,+1,+1,+1,+1,+2,+2,No identificado,No identificado,0,0,0,1,,
7/11/2019 13:27:05,Obs 01,Miguel Ángel Gallegos Guzmán,31,Cona 00031,-1,-1,-2,-2,-1,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,+1,1,,
7/11/2019 13:28:49,Obs 03,Abigail Gómez Moreno,59,Cona00059,-1,-1,-1,-1,-1,-1,+1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,,
7/11/2019 13:30:41,Obs 01,Miguel Ángel Gallegos Guzmán,58,Cona 00058,+1,-1,-1,-1,-1,-1,+1,+1,+1,+1,-1,-1,+1,+1,-1,-1,-1,0,,
